customer_id,recency,frequency,profit,r,f,m,rfm_score,customer_profile,address,postcode,state,country,property_valuation,gender,past_3_years_bike_related_purchases,DOB,job_industry_category,wealth_segment,owns_car,tenure,age,age_group
1,7.0,11,3018.09,4,4,3,443,Platinum,060 Morning Avenue,2016,NSW,Australia,10,Female,93,1953-10-12,Health,Mass Customer,Yes,11.0,69.95586845612915,65-79
2,128.0,3,2226.26,1,1,2,112,Bronze,6 Meadow Vale Court,2153,NSW,Australia,10,Male,81,1980-12-16,Financial Services,Mass Customer,Yes,16.0,42.776665597754246,35-49
4,195.0,2,220.57,1,1,1,111,Bronze,0 Holy Cross Court,4211,QLD,Australia,9,Male,33,1961-10-03,IT,Mass Customer,No,7.0,61.980345344771635,50-64
6,64.0,5,3946.55,2,2,3,223,Silver,9 Oakridge Court,3216,VIC,Australia,9,Male,35,1966-09-16,Retail,High Net Worth,Yes,13.0,57.027471569129425,50-64
7,253.0,3,220.10999999999999,1,1,1,111,Bronze,4 Delaware Trail,2210,NSW,Australia,9,Female,6,1976-02-23,Financial Services,Affluent Customer,Yes,11.0,47.58990611604004,35-49
9,78.0,6,2353.1099999999997,2,2,2,222,Silver,97736 7th Trail,2023,NSW,Australia,12,Female,97,1973-03-10,Argiculture,Affluent Customer,Yes,8.0,50.54684568358763,50-64
11,46.0,6,3638.84,2,2,3,223,Silver,93405 Ludington Park,3044,VIC,Australia,8,Male,99,1954-04-30,Property,Mass Customer,No,9.0,69.40828705473146,65-79
12,67.0,7,3540.03,2,3,3,233,Silver,44339 Golden Leaf Alley,4557,QLD,Australia,4,Male,58,1994-07-21,Manufacturing,Mass Customer,No,8.0,29.182957308056302,20-34
13,27.0,7,4337.38,3,3,4,334,Gold,2 Sutherland Street,3799,VIC,Australia,6,Male,38,1955-02-15,Financial Services,High Net Worth,Yes,8.0,68.6115561156978,65-79
14,47.0,4,1713.9,2,1,1,211,Bronze,9 Mcbride Trail,2760,NSW,Australia,8,Female,85,1983-03-25,Financial Services,Affluent Customer,No,6.0,40.50694068896077,35-49
